Drug Name,FDA Approval Date,SMILES
Mobocertinib,2021 9,COC1=C(NC2=NC=C(C(=O)OC(C)C)C(=N2)C2=CN(C)C3=C2C=CC=C3)C=C(NC(=O)C=C)C(=C1)N(C)CCN(C)C
Nirmatrelvir,2021 12,[H][C@]12CN([C@H](C(=O)N[C@@H](C[C@]3([H])CCNC3=O)C#N)[C@@]1([H])C2(C)C)C(=O)[C@@H](NC(=O)C(F)(F)F)C(C)(C)C
Mavacamten,2022 4,CC(C)N1C(=O)NC(N[C@@H](C)C2=CC=CC=C2)=CC1=O
Futibatinib,2022 9 ,COC1=CC(=CC(OC)=C1)C#CC1=NN([C@H]2CCN(C2)C(=O)C=C)C2=C1C(N)=NC=N2
Adagrasib,2022 12,[H][C@@]1(COC2=NC3=C(CCN(C3)C3=CC=CC4=C3C(Cl)=CC=C4)C(=N2)N2CCN(C(=O)C(F)=C)[C@@]([H])(CC#N)C2)CCCN1C
Palovarotene,2023 8 ,CC1(C)CCC(C)(C)C2=C1C=C(CN1C=CC=N1)C(\C=C\C1=CC=C(C=C1)C(O)=O)=C2
Vamorolone,2023 10,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@@]1(O)C(=O)CO
Iptacopan,2023 12,CCO[C@H]1CCN(CC2=C(OC)C=C(C)C3=C2C=CN3)[C@@H](C1)C1=CC=C(C=C1)C(O)=O
Resmetirom,2024 3,CC(C)C1=CC(OC2=C(Cl)C=C(C=C2Cl)N2N=C(C#N)C(=O)NC2=O)=NNC1=O
Seladelpar,2024 8,CCO[C@H](COC1=CC=C(C=C1)C(F)(F)F)CSC1=CC=C(OCC(O)=O)C(C)=C1
Defactinib,2025 5,CNC(=O)C1=CC=C(NC2=NC=C(C(NCC3=C(N=CC=N3)N(C)S(C)(=O)=O)=N2)C(F)(F)F)C=C1
Taletrectinib,2025 6,[H][C@](C)(N)COC1=CC=C(C=C1)C1=CN=C2C=C\C(NN12)=N\[C@]([H])(C)C1=CC(F)=CC=C1
Paltusotine,2025 9,NC1CCN(CC1)C1=C(C=NC2=CC=C(C=C12)C1=C(O)C(=CC=C1)C#N)C1=CC(F)=CC(F)=C1
Remibrutinib,2025 9,CN(CCOC1=C(N)N=CN=C1C1=C(C)C(NC(=O)C2=C(F)C=C(C=C2)C2CC2)=CC(F)=C1)C(=O)C=C
Ziftomenib,2025 11 ,CNC1=NC(NC2CCN(CC3=CC=C4N(C[C@H](C)N5CCN(CC5)S(C)(=O)=O)C(=CC4=C3C)C#N)CC2)=C2C=C(CC(F)(F)F)SC2=N1
Aficamten,2025 12,CCC1=NC(=NO1)C1=CC=C2[C@@H](CCC2=C1)NC(=O)C1=CN(C)N=C1
Mitapivat,2026 1 ,O=C(N1CCN(CC2CC2)CC1)C1=CC=C(NS(=O)(=O)C2=CC=CC3=C2N=CC=C3)C=C1
